V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,uid,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q8,Q9,Q10,Q11,Q57_4,Q59,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q14,Q17_1,Q17_2,Q17_3,Q17_4,Q18,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q77,Q78_1,Q78_2,Q78_3,Q78_4,Q79,Q80_1,Q80_2,Q80_3,Q80_4,Q81,Q82_1,Q82_2,Q82_3,Q82_4,Q83,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q21,Q24_1,Q24_2,Q24_3,Q24_4,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q27,Q28_1,Q28_2,Q28_3,Q28_4,Q29,Q33,Q34_4,Q35_4,Q36_4,Q37_4,Q30,Q31_4,Q32_4,Q38,Q39_4,Q40_4,Q41_1,Q41_2,Q41_3,Q41_4,Q42,Q43,Q44,Q72,Q73,Q68_1,Q68_2,Q68_3,Q68_4,Q68_5,Q68_6,Q68_7,Q68_8,Q68_9,Q68_10,Q45_1,Q45_2,Q45_3,Q45_4,Q46,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q47_7,Q47_8,Q47_9,Q48,Q49_1,Q49_2,Q49_3,Q49_4,Q49_5,Q49_6,Q49_7,Q49_8,Q49_9,Q50,Q51_1,Q51_2,Q51_3,Q51_4,Q51_5,Q51_6,Q51_7,Q52_1,Q52_2,Q52_3,Q52_4,Q76,Q53_1,Q54,Q55,Q56,Q58,Q62,Q63,Q60,Q84_1,Q84_2,Q84_3,Q84_4,Q85,Q61_1,Q70_1,DO-BR-FL_4,DO-BL-Publicsectorattitudes,DO-BL-Specificfacilities(OUTCOME),LocationLatitude,LocationLongitude,LocationAccuracy
R_Q0oXUqSeLOAgDmx,Default Response Set,Anonymous,,,31.168.230.226,0,14/12/2015 14:23,14/12/2015 14:29,1,5330151,1,4.234,12.897,14.116,5,1,2,2,3,8.709,29.686,31.54,7,1,3,2,2,3,5,,,,,,,,,,,,,,,,,1,15.991,19.309,20.525,6,1,5.617,5.617,6.691,1,2,5.152,5.152,6.223,1,5,,,,,,,,,,,,,,,,,3.083,3.083,4.789,1,1,,2,3,6,2,1,4,3,1,6,8,4.527,35.518,36.819,12,3,2,2,2,2,,,,,1,1,,,,,9,26.192,26.629,7,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,5.704,32.852,54.724,9,1,33,7,3,2,הוד השרון,1,1,שיוך סוציו אקונומי ,8.873,20.729,21.592,8,1,8,6,Figures (PLACEBO),Q7|Q8|Q11|Q10|Q9|Q57|Q59,Q28|Q29|Q33|Q36|Q34|Q37|Q35|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_3PmGZbIxRvvq6tx,Default Response Set,Anonymous,,,82.80.143.133,0,14/12/2015 14:23,14/12/2015 14:29,1,5330911,1,11.789,28.899,29.856,4,1,2,4,6,8.932,32.187,33.378,5,1,3,3,1,4,2,1,6.523,11.49,12.401,2,2,7.546,7.546,8.553,1,3,3.722,3.722,4.778,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.907,6.438,7.227,2,1,,2,4,2,2,1,2,2,1,6,6,3.962,31.235,32.215,6,3,3,3,1,1,,,1,,,,,,,,6.542,82.295,83.57,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,11.119,60.589,79.352,8,1,31,6,2,2,רעננה,2,2,"את שביאת הרצון שלי מחברת חשמל, מים וגז.",11.531,21.938,22.688,2,1,3,4,Figures (CONTROL),Q7|Q8|Q11|Q10|Q9|Q57|Q59,Q28|Q29|Q33|Q36|Q37|Q35|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_2zUNWHKxN9Rj94C,Default Response Set,Anonymous,,,84.94.193.21,0,14/12/2015 14:25,14/12/2015 14:29,1,5330048,1,2.691,2.691,3.865,1,1,1,1,3,3.272,12.486,13.503,6,1,3,3,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38.947,38.947,44.837,1,2,8.21,8.21,9.022,1,3,1.5,1.5,2.374,1,1,4.474,23.836,28.21,10,1,,1,3,3,1,1,4,2,1,2,3,10.935,31.334,32.232,6,1,6,2,2,2,,,1,,,,,,,,6.717,31.116,32.075,8,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,4.041,30.774,33.517,9,1,28,7,4,2,הוד השרון,1,1,,1.735,2.727,3.534,2,1,4,4,Figures (TREATMENT),Q7|Q8|Q10|Q9|Q11|Q57|Q59,Q28|Q29|Q33|Q35|Q37|Q36|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_T02JDwu9lCGXXeV,Default Response Set,Anonymous,,,149.78.24.147,0,14/12/2015 14:24,14/12/2015 14:29,1,5331266,1,12.856,27.859,29.497,4,1,2,3,2,3.679,31.608,32.91,6,1,3,3,2,0,1,,,,,,,,,,,,,,,,,1,4.839,4.839,5.989,1,2,5.222,5.222,6.512,1,3,3.268,3.268,4.373,1,4,,,,,,,,,,,,,,,,,5.102,55.874,56.598,14,1,,6,7,7,6,1,5,4,1,5,1,2.538,30.735,32.195,8,1,6,2,1,1,,,,,,1,,,,,2.41,24.3,25.176,7,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,4.864,41.436,57.967,10,1,48,8,1,1,חיפה,2,1,מידת שביעות רצון בשירותי תשתית,11.024,30.748,31.226,5,1,6,2,Figures (PLACEBO),Q7|Q8|Q10|Q11|Q9|Q57|Q59,Q28|Q29|Q33|Q36|Q35|Q34|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_2Sq6unsajR7eSwb,Default Response Set,Anonymous,,,84.229.161.38,0,14/12/2015 14:25,14/12/2015 14:30,1,5330616,1,8.782,22.19,25.365,3,1,2,3,4,9.165,39.451,40.449,10,1,2,2,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.588,6.22,7.407,2,5,5.178,5.178,7.077,1,3,4.186,4.186,5.315,1,1,6.843,42.257,42.925,9,1,,4,3,3,2,1,4,3,1,5,5,5.463,29.095,49.411,5,2,1,3,1,1,,,,,,,,,,,4.822,20.718,22.464,3,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,4.388,40.431,52.548,9,1,23,4,3,2,הוד השרון,2,1,שביעות רצוון מהחברות הגדולות במשק,7.125,16.387,16.933,3,1,4,2,Figures (TREATMENT),Q7|Q8|Q9|Q11|Q10|Q57|Q59,Q28|Q29|Q33|Q34|Q35|Q37|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_279lAgK5MOWYIB4,Default Response Set,Anonymous,,,37.142.215.174,0,14/12/2015 14:24,14/12/2015 14:30,1,5330717,1,10.975,23.486,25.591,3,1,5,5,6,4.886,25.747,27.341,5,1,5,5,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.636,13.451,18.667,2,5,3.487,3.487,4.776,1,3,1.624,1.624,3.235,1,1,3.662,5.593,8.08,2,1,,8,9,8,9,1,6,7,1,10,10,8.589,30.988,54.327,7,3,1,3,1,1,,,,,,,,,,,5.827,39.129,41.62,6,1,,,,,,,,,,2,1,1,1,,,,,,,1,,,,,,,,3.771,56.492,59.71,11,1,29,4,1,2,רמת השרון,2,1,את הדיעה וההשקפה שלי לגבי תשתיות שונות בישראל,10.644,18.085,19.859,5,1,10,9,Figures (TREATMENT),Q7|Q8|Q9|Q11|Q10|Q57|Q59,Q28|Q29|Q33|Q34|Q37|Q35|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.165802,34.83670044,-1
R_3MbBSUWVomFCdiQ,Default Response Set,Anonymous,,,176.13.10.155,0,14/12/2015 14:26,14/12/2015 14:30,1,5329918,1,6.99,15.261,16.784,4,1,4,3,3,2.628,17.965,18.765,4,1,3,3,2,8,2,,,,,,,,,,,,,,,,,1,2.219,2.219,3.238,1,2,2.766,2.766,4.399,1,3,2.18,6.42,9.085,2,4,,,,,,,,,,,,,,,,,18.647,32.286,35.554,5,1,,4,5,4,5,1,7,6,1,5,5,2.615,14.621,27.923,6,2,1,3,2,2,,,,,,,,,,,9.436,22.997,23.68,8,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,2.04,28.084,38.621,9,1,24,4,3,2,כפר סבא,1,1,שביעות רצון מהמגזר הציבורי,7.962,8.735,9.781,2,1,8,4,Figures (PLACEBO),Q7|Q8|Q9|Q11|Q10|Q57|Q59,Q28|Q29|Q33|Q35|Q37|Q34|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.81559753,34.98919678,-1
R_T59HdQpJcxqu30R,Default Response Set,Anonymous,,,192.114.20.48,0,14/12/2015 14:25,14/12/2015 14:30,1,5330024,1,5.322,10.969,12.565,3,1,3,3,1,6.906,20.328,21.419,5,1,4,2,3,2,2,,,,,,,,,,,,,,,,,1,8.517,8.517,10.009,1,4,4.086,4.086,5.074,1,3,3.554,3.554,4.757,1,3,,,,,,,,,,,,,,,,,3.16,5.982,8.419,3,1,,2,5,4,2,1,5,3,1,3,3,15.649,32.915,53.492,6,3,3,3,1,2,,,,,,,,,,,18.164,32.031,33.081,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,3.679,13.296,14.342,3,1,28,8,1,2,g,3,1,c,3.691,10.541,11.323,4,1,2,2,Figures (PLACEBO),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q34|Q37|Q36|Q35|Q30|Q31|Q32|Q38|Q39|Q40,32.81559753,34.98919678,-1
R_ptSVYmAXrcU02xb,Default Response Set,Anonymous,,,194.90.15.61,0,14/12/2015 14:25,14/12/2015 14:31,1,5330518,1,12.572,22.707,24.381,4,1,6,4,6,2.327,69.867,70.887,5,1,1,1,1,5,2,,,,,,,,,,,,,,,,,1,3.617,3.617,4.672,1,2,9.93,9.93,10.906,1,3,7.337,7.337,8.354,1,4,,,,,,,,,,,,,,,,,7.941,49.854,52.006,8,1,,3,8,5,8,1,6,6,1,6,,7.546,37.749,39.318,8,3,5,3,1,1,1,,,,,,,,,,5.277,33.664,34.635,6,2,,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,1,7.384,36.19,47.885,8,1,45,7,4,1,כפר סבא,1,1,שביעות רצון מחברות ממשלתיות גדולות,9.35,18.358,19.269,2,1,5,7,Figures (PLACEBO),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q37|Q35|Q34|Q36|Q30|Q31|Q32|Q38|Q39|Q40,31.5,34.75,-1
R_1ociYmSTaObExQJ,Default Response Set,Anonymous,,,199.203.95.229,0,14/12/2015 14:26,14/12/2015 14:31,1,5330528,1,3.485,6.157,7.326,3,1,1,1,3,4.294,19.285,21.424,5,1,3,4,3,8,1,1,6.562,6.562,8.729,1,2,3.257,3.257,5.066,1,2,5.422,5.422,6.798,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.848,32.974,33.891,9,1,,1,1,1,1,1,1,1,1,1,8,3.673,36.391,45.641,7,3,4,2,1,1,,,,,,,,,,,2.983,20.406,21.888,9,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,3.264,3.264,6.609,1,1,55,5,3,1,רמהש,1,1,שביעות רצון משרותי הממשלה\עיריות,5.311,14.34,15.236,3,1,10,3,Figures (CONTROL),Q7|Q8|Q10|Q11|Q9|Q57|Q59,Q28|Q29|Q33|Q36|Q34|Q35|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.81559753,34.98919678,-1
